p_x,p_y,p_z,dp_x,dp_y,dp_z,q_w,q_x,q_y,q_z,omega_x,omega_y,omega_z
-0.0865834,1.49483,-1.00588,-0.279342,-0.0176664,0.0722022,0.70574,-0.0157962,0.010104,0.708223,-0.016039,-0.158278,0.0133323
-0.0896802,1.4946,-1.00515,-0.283131,-0.0182968,0.0724005,0.705719,-0.0155477,0.00980025,0.708253,-0.0161878,-0.154949,0.0135314
-0.0896802,1.4946,-1.00515,-0.283131,-0.0182968,0.0724005,0.705698,-0.0153001,0.00949813,0.708284,-0.0158068,-0.155911,0.0137713
-0.0928019,1.49437,-1.00441,-0.286775,-0.0189257,0.072515,0.705677,-0.0150554,0.00919906,0.708314,-0.0159648,-0.152489,0.0139757
-0.0928019,1.49437,-1.00441,-0.286775,-0.0189257,0.072515,0.705655,-0.0148119,0.00890183,0.708345,-0.0155694,-0.153328,0.0142217
-0.0959468,1.49413,-1.00368,-0.289909,-0.019533,0.0724721,0.705632,-0.0145713,0.00860775,0.708377,-0.0157449,-0.149894,0.0144315
-0.0959468,1.49413,-1.00368,-0.289909,-0.019533,0.0724721,0.705609,-0.0143326,0.00831594,0.708408,-0.0153838,-0.150284,0.0146833
-0.0991133,1.49388,-1.00296,-0.293638,-0.0202314,0.0725425,0.705585,-0.0140973,0.00802778,0.70844,-0.0155766,-0.146632,0.014898
-0.0991133,1.49388,-1.00296,-0.293638,-0.0202314,0.0725425,0.705561,-0.0138633,0.00774149,0.708472,-0.0151512,-0.14761,0.015156
-0.1023,1.49362,-1.00224,-0.296743,-0.0209037,0.0724414,0.705536,-0.0136318,0.00745801,0.708504,-0.0153171,-0.144419,0.0153759
-0.1023,1.49362,-1.00224,-0.296743,-0.0209037,0.0724414,0.70551,-0.0134016,0.00717636,0.708537,-0.0149101,-0.145128,0.0156394
-0.105505,1.49336,-1.00153,-0.299744,-0.0215757,0.0722889,0.705484,-0.0131742,0.0068978,0.708569,-0.0151024,-0.141824,0.015864
-0.105505,1.49336,-1.00153,-0.299744,-0.0215757,0.0722889,0.705458,-0.0129483,0.00662122,0.708603,-0.0146985,-0.142437,0.0161332
-0.108728,1.49309,-1.00083,-0.30259,-0.0222837,0.0720689,0.705431,-0.0127253,0.00634777,0.708636,-0.0148979,-0.139141,0.0163626
-0.108728,1.49309,-1.00083,-0.30259,-0.0222837,0.0720689,0.705403,-0.0125038,0.00607639,0.70867,-0.0144755,-0.139688,0.0166371
-0.111966,1.49281,-1.00013,-0.305407,-0.0230103,0.0718107,0.705375,-0.0122853,0.00580817,0.708704,-0.0146727,-0.136421,0.016871
-0.111966,1.49281,-1.00013,-0.305407,-0.0230103,0.0718107,0.705347,-0.0120681,0.00554194,0.708738,-0.0142352,-0.137043,0.0171505
-0.115219,1.49252,-0.999438,-0.307767,-0.0237177,0.0714038,0.705317,-0.0118537,0.0052787,0.708773,-0.0144317,-0.133896,0.0173886
-0.115219,1.49252,-0.999438,-0.307767,-0.0237177,0.0714038,0.705288,-0.0116409,0.00501765,0.708808,-0.0140307,-0.134202,0.0176729
-0.118484,1.49222,-0.998757,-0.310178,-0.0244701,0.071013,0.705257,-0.0114313,0.00475992,0.708843,-0.0142497,-0.130921,0.0179151
-0.118484,1.49222,-0.998757,-0.310178,-0.0244701,0.071013,0.705226,-0.0112234,0.00450444,0.708879,-0.0138036,-0.131283,0.0182043
-0.121761,1.49192,-0.998085,-0.312016,-0.0252035,0.0704593,0.705195,-0.0110184,0.00425216,0.708915,-0.0140156,-0.128116,0.0184507
-0.121761,1.49192,-0.998085,-0.312016,-0.0252035,0.0704593,0.705163,-0.0108155,0.00400249,0.708952,-0.0135934,-0.128042,0.0187446
-0.125049,1.49161,-0.997421,-0.314401,-0.0259929,0.0699982,0.70513,-0.0106162,0.00375649,0.708989,-0.0138345,-0.124671,0.018995
-0.125049,1.49161,-0.997421,-0.314401,-0.0259929,0.0699982,0.705097,-0.0104184,0.0035127,0.709026,-0.013375,-0.125136,0.0192933
-0.128345,1.49128,-0.996768,-0.316107,-0.0267491,0.0693809,0.705063,-0.0102234,0.00327178,0.709063,-0.0136001,-0.1222,0.0195474
-0.128345,1.49128,-0.996768,-0.316107,-0.0267491,0.0693809,0.705029,-0.01003,0.00303311,0.709101,-0.0131808,-0.122317,0.0198499
-0.131649,1.49095,-0.996124,-0.317885,-0.0275316,0.0687347,0.704994,-0.00983981,0.00279764,0.70914,-0.0134387,-0.119225,0.0201076
-0.131649,1.49095,-0.996124,-0.317885,-0.0275316,0.0687347,0.704958,-0.00965131,0.00256449,0.709178,-0.0129763,-0.1194,0.0204143
-0.13496,1.49062,-0.99549,-0.31912,-0.0283037,0.0679677,0.704922,-0.0094658,0.00233442,0.709218,-0.0132341,-0.116424,0.0206756
-0.13496,1.49062,-0.99549,-0.31912,-0.0283037,0.0679677,0.704886,-0.00928236,0.002107,0.709257,-0.0127929,-0.116189,0.0209862
-0.138276,1.49027,-0.994867,-0.321236,-0.0291654,0.0673722,0.704848,-0.00910242,0.00188311,0.709297,-0.0130605,-0.113026,0.0212509
-0.138276,1.49027,-0.994867,-0.321236,-0.0291654,0.0673722,0.704811,-0.00892366,0.00166113,0.709338,-0.0125468,-0.113684,0.0215654
-0.141597,1.48991,-0.994256,-0.322537,-0.0299894,0.0665883,0.704772,-0.00874701,0.00144143,0.709378,-0.0127947,-0.111179,0.0218334
-0.141597,1.48991,-0.994256,-0.322537,-0.0299894,0.0665883,0.704733,-0.00857147,0.00122354,0.70942,-0.0123058,-0.111475,0.0221513
-0.14492,1.48954,-0.993655,-0.323619,-0.030808,0.0657331,0.704694,-0.00839849,0.00100837,0.709461,-0.0125511,-0.108787,0.0224221
